bands,width,rms,inverse_relative
4,0,0.05132066,0.93254326
4,25,0.05093842,0.93954110
4,50,0.04848825,0.98701708
4,75,0.04749983,1.00755596
4,100,0.04741937,1.00926550
8,0,0.04785874,1.00000000
8,25,0.04775918,1.00208448
8,50,0.04837012,0.98942764
8,75,0.04780264,1.00117346
8,100,0.04773999,1.00248742
16,0,0.04530920,1.05626978
16,25,0.04675332,1.02364355
16,50,0.05391039,0.88774599
16,75,0.05393106,0.88740574
16,100,0.05389198,0.88804935
24,0,0.04527062,1.05716996
24,25,0.04846133,0.98756543
24,50,0.05617817,0.85190984
24,75,0.05627083,0.85050707
24,100,0.05623486,0.85105096
32,0,0.04623619,1.03509256
32,25,0.04907342,0.97524767
32,50,0.05364343,0.89216402
32,75,0.05371657,0.89094928
32,100,0.05368205,0.89152206
40,0,0.04780579,1.00110756
40,25,0.04789117,0.99932267
40,50,0.04729957,1.01182178
40,75,0.04733061,1.01115816
40,100,0.04730054,1.01180111
